ingles,portugues
heard,ouviu
honey,querida
matter,matéria
myself,Eu mesmo
couldn't,não poderia
exactly,exatamente
having,tendo
probably,provavelmente
happen,acontecer
we've,nós temos
hurt,ferir
boy,Garoto
both,Ambas
while,enquanto
dead,morto
gotta,Tenho que
alone,sozinho
since,desde
excuse,com licença
start,começar
kill,matar
hard,duro
you'd,você
today,hoje
car,carro
ready,pronto
until,até
without,sem
whatever,qualquer que seja
wants,quer
hold,aguarde
wanna,quer
yet,ainda
seen,visto
deal,acordo
took,tomou
once,uma vez
gone,se foi
called,chamado
morning,manhã
supposed,suposto
friends,amigos
head,cabeça
stuff,material
most,a maioria
used,usado
worry,preocupar
second,segundo
part,papel
live,viver
truth,verdade
school,escola
to face,enfrentar
forget,esquecer
TRUE,VERDADE
business,o negócio
each,cada
cause,causa
soon,em breve
knows,sabe
few,alguns
telling,dizendo
wife,esposa
who's,quem é
to use,usar
chance,chance
run,corre
move,jogada
anyone,alguém
person,pessoa
bye,tchau
somebody,alguém
heart,coração
such,tal
miss,senhorita
married,casado
point,ponto
later,mais tarde
making,fazer
meet,encontrar
anyway,de qualquer forma
many,muitos
phone,telefone
reason,razão
damn,droga
lost,perdido
looks,parece
bring,trazer
case,caso
turn,virar
wish,desejar
tomorrow,amanhã
kids,crianças
trust,Confiar em
check,Verifica
change,mudança
end,fim
late,tarde
anymore,não mais
five,cinco
least,ao menos
town,Cidade
aren't,não são
working,trabalhando
year,ano
makes,faz
taking,tirando
means,significa
brother,irmão
play,Toque
hate,odiar
ago,atrás
says,diz
beautiful,lindo
gave,deram
fact,fato
crazy,louco
party,Festa
to sit,sentar
open,abrir
afraid,com medo
between,entre
important,importante
rest,descanso
fun,Diversão
kid,miúdo
word,palavra
watch,ver
glad,alegre
everyone,todos
days,dias
sister,irmã
minutes,minutos
everybody,todo o mundo
bit,pedaço
couple,casal
whoa,Uau
either,qualquer
Mrs.,Sra.
feeling,sentimento
daughter,filha
gets,recebe
asked,Perguntou
under,debaixo
break,parar
promise,promessa
door,porta
set,definir
close,perto
hand,mão
easy,fácil
question,pergunta
doctor,médico
tried,tentou
far,distante
walk,andar
needs,precisa
trouble,problema
mine,minha
though,no entanto
times,vezes
different,diferente
killed,morto
hospital,hospital
anybody,qualquer pessoa
alright,tudo bem
wedding,Casamento
shut,fechar
able,capaz
die,morrer
perfect,perfeito
police,polícia
stand,ficar
comes,vem
hit,acertar
story,história
waiting,espera
dinner,jantar
against,contra
funny,engraçado
husband,esposo
almost,quase
stupid,estúpido
pay,pagar
answer,responda
four,quatro
office,escritório
cool,legal
eyes,olhos
news,notícia
child,filho
shouldn't,não deveria
half,metade
side,lado
yours,Sua
moment,momento
sleep,dorme
read,ler
where's,Onde está a
started,iniciado
young,jovem
men,homens
sounds,sons
lucky,afortunado
pick,escolha
sometimes,as vezes
bed,cama
also,também
date,encontro
line,linha
plan,plano
hours,horas
lose,perder
fire,incêndio
free,gratuitamente
hands,mãos
serious,sério
shit,merda
behind,atras do
inside,lado de dentro
high,Alto
ahead,à frente
week,semana
wonderful,Maravilhoso
fight,lutar
past,passado
cut,cortar
quite,bastante
number,número
hell,inferno
sick,doente
it'll,vai
game,jogos
eat,comer
nobody,ninguém
goes,vai
death,morte
along,ao longo
save,Salve
seems,parece
finally,finalmente
lives,vidas
worried,preocupado
upset,chateado
There's a,Há um
met,conheceu
book,livro
brought,trouxeram
seem,parecer
sort,ordenar
safe,seguro
living,vivo
children,crianças
weren't,Não estava
leaving,deixando
front,frente
shot,tomada
loved,amavam
asking,Perguntando
running,corrida
clear,Claro
figure,figura
hot,quente
felt,sentiu
six,seis
parents,pais
drink,beber
absolutely,absolutamente
how's,como
daddy,papai
sweet,doce
alive,vivo
sense,senso
meant,significou
happens,acontece
special,especial
bet,aposta
blood,sangue
ain't,não
kidding,brincando
lie,mentira
full,cheio
meeting,encontro
dear,caro
coffee,café
seeing,vendo
sound,som
fault,culpa
water,agua
fuck,Porra
ten,dez
women,mulheres
welcome,Bem-vindo
buy,Comprar
months,meses
hour,hora
speak,falar
lady,senhora
thinks,acha
Christmas,Natal
body,corpo
order,ordem
outside,fora
hang,pendurar
possible,possível
worse,pior
company,companhia
mistake,erro
handle,lidar com
spend,gasta
totally,totalmente
giving,dando
control,ao controle
here's,Aqui está
marriage,casado
realize,entender
power,potência
president,Presidente
unless,a não ser que
sex,sexo
girls,garotas
send,mandar
needed,precisava
taken,ocupado
died,morreu
scared,assustada
picture,foto
talked,falou
ass,bunda
hundred,centenas
changed,mudado
completely,completamente
explain,explique
playing,jogando
certainly,certamente
sign,sinal
boys,Rapazes
relationship,relação
loves,O amor é
fucking,Porra
hair,cabelo
lying,deitado
choice,escolha
anywhere,qualquer lugar
secret,segredo
future,futuro
weird,estranhas
luck,sorte
shell,Concha
turned,virado
known,conhecido
touch,toque
kiss,beijo
Crane or crane,Guindaste ou guindaste
questions,perguntas
obviously,obviamente
wonder,maravilha
pain,dor
calling,chamando
somewhere,em algum lugar
throw,lançar
straight,direto
cold,resfriado
White,branco
fast,velozes
words,palavras
food,Comida
none,Nenhum
drive,dirigir
feelings,sentimentos
they'll,Eles vão
worked,trabalhado
marry,casar
light,leve
test,teste
drop,derrubar
cannot,não podes
sent,enviado
city,cidade
dream,Sonho
protect,proteger
twenty,vinte
class,classe
surprise,surpresa
its,Está
sweetheart,amada
forever,para todo sempre
poor,pobre
looked,visto
mad,louco
except,exceto
gun,arma de fogo
you know,você sabe
dance,dança
takes,leva
appreciate,apreciar
especially,especialmente
situation,situação
besides,além do mais
weeks,semanas
pull,puxar
himself,ele mesmo
hasn't,não tem
act,Ação
worth,que vale a pena
amazing,incrível
top,topo
given,dado
expect,Espero
rather,em vez de
involved,envolvido
swear,jurar
piece,peça
busy,ocupado
law,lei
decided,decidiu
black,preto
happening,acontecendo
movie,filme
catch,truque
country,país
less,menos
perhaps,talvez
fall,cair
watching,assistindo
kept,mantido
darling,querida
dog,cão
win,ganhar
air,ar
honor,honra
personal,pessoal
moving,movendo
till,até
admit,Admitem
problems,problemas
murder,assassinato
strong,Forte
he'd,ele
evil,mal
definitely,definitivamente
feels,sentimentos
information,imformação
honest,honesto
eye,olho
broke,quebrou
missed,esquecidas
longer,mais tempo
dollars,dólares
tired,cansado
evening,tarde
human,humano
starting,iniciando
red,vermelho
entire,inteira
trip,viagem
club,clube
suppose,suponha
calm,calma
imagine,Imagine
fair,feira
caught,apanhado
blame,culpa
street,rua
sitting,sentado
favor,Favor
apartment,apartamento
court,quadra
terrible,Terrível
clean,limpar
learn,aprender
works,funciona
relax,relaxar
York,Iorque
million,milhão
charity,caridade
accident,acidente
wake,acordar
prove,provar
smart,inteligente
message,mensagem
missing,ausência de
forgot,esquecido
small,pequena
interested,interessado
table,tabela
become,vir a ser
mouth,boca
pregnant,grávida
middle,meio
ring,anel
careful,cuidadoso
shall,deve
dude,cara
team,equipe
ride,passeio
figured,figurado
wear,vestem
shoot,atirar
stick,grudar
follow,Segue
angry,Bravo
instead,em vez de
buddy,camarada
write,Escreva
stopped,parou
early,cedo
Angel,anjo
ran,correu
war,guerra
standing,de pé
forgive,perdoar
jail,cadeia
wearing,vestindo
ladies,senhoras
kinda,tipo
lunch,almoço
eight,oito
gotten,pego
hoping,na esperança
thousand,mil
ridge,cume
music,música
paper,papel
tough,difícil
tape,fita
state,Estado
count,contar
college,faculdade
boyfriend,namorado
proud,orgulhoso
agree,aceita
birthday,aniversário
bill,conta
seven,Sete
they've,eles têm
history,história
share,compartilhar
offer,oferta
hurry,pressa
feet,pés
wondering,perguntando
simple,simples
decision,decisão
building,prédio
finish,Finalizar
voice,voz
herself,ela própria
would've,teria
list,Lista
mess,bagunça
deserve,merecer
evidence,evidência
cute,bonitinho
dress,vestir
interesting,interessante
Jesus,Jesus
hotel,hotel
enjoy,desfrutar
quiet,tranquilo
concerned,preocupado
road,estrada
staying,ficando
short,curto
beat,bater
sweetie,querida
mention,menção
clothes,roupas
finished,finalizado
fell,caiu
neither,nenhum
fix,fixar
respect,respeito
spent,gasto
prison,prisão
attention,atenção
holding,segurando
calls,chamadas
near,aproximar
surprised,surpreso
pass,passar
keeping,guardando
gift,Presente
hadn't,não tinha
putting,colocando
dark,Sombrio
self,auto
owe,dever
using,usando
ice,gelo
helping,ajudando
bitch,cadela
normal,normal
aunt,tia
lawyer,advogado
apart,separado
certain,certo
plans,planos
girlfriend,Namorada
floor,piso
whether,se
everything's,tudo
present,presente
earth,terra
private,privado
box,caixa
cover,cobrir
judge,juiz
upstairs,andar de cima
sake,interesse
mommy,Mamãe
possibly,possivelmente
worst,pior
